,name,code,source,color_hex,color_r,color_g,color_b
0,Baby Dreams,2083-70,benjaminmoore,#f5e3ea,245,227,234
1,Misty Rose,1360,benjaminmoore,#e9cdd6,233,205,214
2,Countryside Pink,1361,benjaminmoore,#ddb2c6,221,178,198
3,Fashion Rose,1356,benjaminmoore,#9e5774,158,87,116
4,Old Claret,2083-30,benjaminmoore,#974c64,151,76,100
5,Cascabel Chile,CSP-445,benjaminmoore,#693a3c,105,58,60
6,Bewitched,CSP-450,benjaminmoore,#582f2f,88,47,47
7,Primrose Petals,1367,benjaminmoore,#eed5df,238,213,223
8,Sweet Naivete,2083-60,benjaminmoore,#eccbda,236,203,218
9,Pink Pansy,2083-50,benjaminmoore,#dcaac1,220,170,193
10,Begonia,2083-40,benjaminmoore,#c27e9a,194,126,154
11,Berry Fizz,CSP-440,benjaminmoore,#9e3f62,158,63,98
12,Cranberry Cocktail,2083-20,benjaminmoore,#833f4d,131,63,77
13,Raisin Torte,2083-10,benjaminmoore,#73383f,115,56,63
14,I Love You Pink,2077-70,benjaminmoore,#f8e2ee,248,226,238
15,Valentine's Day,2077-60,benjaminmoore,#f4cbe5,244,203,229
16,Pretty Pink,2077-50,benjaminmoore,#eba8d3,235,168,211
17,Spring Azalea,2077-40,benjaminmoore,#db7bb4,219,123,180
18,Hot Lips,2077-30,benjaminmoore,#bc427f,188,66,127
19,Gypsy Pink,2077-20,benjaminmoore,#ab3162,171,49,98
20,Magenta,2077-10,benjaminmoore,#9c284b,156,40,75
21,Nursery Pink,2076-70,benjaminmoore,#f7e2ed,247,226,237
22,Dog's Ear,2076-60,benjaminmoore,#f3cae3,243,202,227
23,Easter Pink,2076-50,benjaminmoore,#e8a9d0,232,169,208
24,Raspberry Mousse,2076-40,benjaminmoore,#d67cb0,214,124,176
25,Crushed Berries,2076-30,benjaminmoore,#b4447b,180,68,123
26,Royal Flush,2076-20,benjaminmoore,#a0365f,160,54,95
27,Crushed Velvet,2076-10,benjaminmoore,#8d2d48,141,45,72
28,Candy Stripe,2079-70,benjaminmoore,#fae2ec,250,226,236
29,Bermuda Breeze,1345,benjaminmoore,#f5c5dc,245,197,220
30,Wild Heart,1354,benjaminmoore,#e3afc5,227,175,197
31,Tropical Rose,1355,benjaminmoore,#c77a9a,199,122,154
32,Razzle Dazzle,1348,benjaminmoore,#c9527f,201,82,127
33,Pink Corsage,1349,benjaminmoore,#b24668,178,70,104
34,Chinaberry,1351,benjaminmoore,#9d3c53,157,60,83
35,Newborn Pink,2078-60,benjaminmoore,#f5d0e1,245,208,225
36,Pink Cherub,2079-60,benjaminmoore,#f8cde1,248,205,225
37,Pink Begonia,2078-50,benjaminmoore,#ecb0ca,236,176,202
38,Island Sunset,1346,benjaminmoore,#e898bf,232,152,191
39,Pink Ladies,1347,benjaminmoore,#dd7aa5,221,122,165
40,Aniline Red,1350,benjaminmoore,#af405b,175,64,91
41,Roseate,2078-10,benjaminmoore,#9d3448,157,52,72
42,Pink Peony,2078-70,benjaminmoore,#f8e5ec,248,229,236
43,Pink Petals,2085-60,benjaminmoore,#efcdd9,239,205,217
44,Rhododendron,2079-50,benjaminmoore,#f2abcb,242,171,203
45,Springtime Bloom,2079-40,benjaminmoore,#e47da7,228,125,167
46,Peony,2079-30,benjaminmoore,#c84470,200,68,112
47,Blushing Red,2079-20,benjaminmoore,#b83153,184,49,83
48,Candy Cane Red,2079-10,benjaminmoore,#aa253c,170,37,60
49,Aztec Lily,2080-70,benjaminmoore,#f8e1e7,248,225,231
50,Rose Garden,1353,benjaminmoore,#f3d1db,243,209,219
51,Strawberry,2085-50,benjaminmoore,#e4acc0,228,172,192
52,Paradise Pink,2078-40,benjaminmoore,#dc85a6,220,133,166
53,Royal Fuchsia,2078-30,benjaminmoore,#bd5070,189,80,112
54,Raspberry Glaze,2078-20,benjaminmoore,#ac3d58,172,61,88
55,Night Flower,1344,benjaminmoore,#963f50,150,63,80
56,Pink Innocence,2082-60,benjaminmoore,#e9ccd4,233,204,212
57,Damask Rose,2082-50,benjaminmoore,#d6acb8,214,172,184
58,Rosewood,2082-40,benjaminmoore,#b77f8c,183,127,140
59,Cherokee Brick,2082-30,benjaminmoore,#8c5059,140,80,89
60,Modern Romance,CSP-435,benjaminmoore,#83434f,131,67,79
61,Plum Raisin,2082-20,benjaminmoore,#7c4547,124,69,71
62,Ruby Dusk,1267,benjaminmoore,#6d4243,109,66,67
63,50's Pink,2086-70,benjaminmoore,#fbe3ea,251,227,234
64,Posy Pink,2080-60,benjaminmoore,#f3c9d7,243,201,215
65,Bayberry,2080-50,benjaminmoore,#e6a7bc,230,167,188
66,Taste of Berry,2085-40,benjaminmoore,#cb7e95,203,126,149
67,Gypsy Love,2085-30,benjaminmoore,#a64e5d,166,78,93
68,Dinner Party,AF-300,benjaminmoore,#763637,118,54,55
69,,,benjaminmoore,#662a25,102,42,37
70,Baby Pink,2085-70,benjaminmoore,#f8e3e8,248,227,232
71,Rosy Glow,2084-50,benjaminmoore,#eaaebe,234,174,190
72,Wild Pink,2080-40,benjaminmoore,#d07991,208,121,145
73,Cherry Wine,2080-30,benjaminmoore,#ad485b,173,72,91
74,Patriot Red,2080-20,benjaminmoore,#9e3b45,158,59,69
75,Raspberry Truffle,2080-10,benjaminmoore,#923538,146,53,56
76,Classic Burgundy,HC-182,benjaminmoore,#69181a,105,24,26
77,Flush Pink,2081-70,benjaminmoore,#f8e7ea,248,231,234
78,Sweet Taffy,2086-60,benjaminmoore,#facddd,250,205,221
79,Blushing Bride,2086-50,benjaminmoore,#f5abc5,245,171,197
80,Deep Carnation,2086-40,benjaminmoore,#e97b9d,233,123,157
81,Rosy Blush,2086-30,benjaminmoore,#cf4566,207,69,102
82,Drop Dead Gorgeous,1329,benjaminmoore,#bb4254,187,66,84
83,Fuchsine,1343,benjaminmoore,#ad364e,173,54,78
84,Ballerina Pink,2082-70,benjaminmoore,#f3e2e6,243,226,230
85,Pink Lace,2081-60,benjaminmoore,#f5d4dc,245,212,220
86,Pink Ruffle,2081-50,benjaminmoore,#edb6c3,237,182,195
87,Pink Blossom,2081-40,benjaminmoore,#dc8c9b,220,140,155
88,Vibrant Blush,2081-30,benjaminmoore,#be5a67,190,90,103
89,Sultan's Palace,2081-20,benjaminmoore,#ae4853,174,72,83
90,Burnt Peanut Red,2081-10,benjaminmoore,#a14048,161,64,72
91,Gentle Blush,2084-70,benjaminmoore,#fae4e8,250,228,232
92,Early Sunrise,2084-60,benjaminmoore,#f6cfd9,246,207,217
93,Precious Pink,2084-40,benjaminmoore,#d48295,212,130,149
94,Rouge,2084-30,benjaminmoore,#b2525d,178,82,93
95,Maple Leaf Red,2084-20,benjaminmoore,#914443,145,68,67
96,Brick Red,2084-10,benjaminmoore,#793b31,121,59,49
97,Arroyo Red,2085-10,benjaminmoore,#6e3731,110,55,49
98,Peppermint,1359,benjaminmoore,#f2dcde,242,220,222
99,Pink Dynasty,1352,benjaminmoore,#f3d6da,243,214,218
100,Tara,1270,benjaminmoore,#e5b6bf,229,182,191
101,Princess,1272,benjaminmoore,#c68691,198,134,145
102,Prom Dress,1273,benjaminmoore,#ae6c75,174,108,117
103,Raspberry Glacé,CSP-430,benjaminmoore,#ab696e,171,105,110
104,Warm Earth,1274,benjaminmoore,#914d4e,145,77,78
105,Paris Romance,1262,benjaminmoore,#e0cacb,224,202,203
106,Kept Love Letters,CSP-425,benjaminmoore,#d6bbbb,214,187,187
107,Mauve Mist,1264,benjaminmoore,#be999a,190,153,154
108,Deep Mauve,1265,benjaminmoore,#996e6f,153,110,111
109,Love Affair,1266,benjaminmoore,#85595d,133,89,93
110,New London Burgundy,HC-61,benjaminmoore,#754b4e,117,75,78
111,Townsend Harbor Brown,HC-64,benjaminmoore,#634543,99,69,67
112,Paisley Pink,1261,benjaminmoore,#e8d7d5,232,215,213
113,Rose Lace,1254,benjaminmoore,#e1c6c5,225,198,197
114,Victoriana,1263,benjaminmoore,#d2b4b3,210,180,179
115,Amaryllis,1256,benjaminmoore,#c89896,200,152,150
116,Somerville Red,HC-62,benjaminmoore,#9a6d6b,154,109,107
117,Garrison Red,HC-66,benjaminmoore,#8c5956,140,89,86
118,Chestnut,2082-10,benjaminmoore,#703e3c,112,62,60
119,Petunia Pink,1276,benjaminmoore,#ebc7c9,235,199,201
120,Engagement,1277,benjaminmoore,#e4b2b5,228,178,181
121,Hummingbird,1271,benjaminmoore,#d89fa8,216,159,168
122,Toasted Mauve,1279,benjaminmoore,#c7868c,199,134,140
123,Burgundy Rose,1280,benjaminmoore,#b17376,177,115,118
124,Pottery Red,2085-20,benjaminmoore,#853f44,133,63,68
125,Parisian Red®,CSP-1170,benjaminmoore,#773935,119,57,53
126,Silky Smooth,1373,benjaminmoore,#eee2de,238,226,222
127,Pink Attraction,1255,benjaminmoore,#d8b4b5,216,180,181
128,Palermo Rose,1278,benjaminmoore,#d29a9c,210,154,156
129,Bricktone Red,2005-30,benjaminmoore,#9c5251,156,82,81
130,Tawny Port,1281,benjaminmoore,#905455,144,84,85
131,Hot Apple Spice,2005-20,benjaminmoore,#8a453e,138,69,62
132,Red Rock,2005-10,benjaminmoore,#7c3e32,124,62,50
133,Cotton Candy,1268,benjaminmoore,#f6dfe0,246,223,224
134,Unspoken Love,1269,benjaminmoore,#f2cccf,242,204,207
135,Pink Eraser,2005-50,benjaminmoore,#e1adb3,225,173,179
136,Genuine Pink,2005-40,benjaminmoore,#c78086,199,128,134
137,Cinnabar,CSP-1165,benjaminmoore,#944544,148,69,68
138,Pomegranate,AF-295,benjaminmoore,#8b383e,139,56,62
139,Sundried Tomato,CC-62,benjaminmoore,#783934,120,57,52
140,Wispy Pink,2005-70,benjaminmoore,#f7e4e4,247,228,228
141,Pink Pearl,2005-60,benjaminmoore,#f0cdd1,240,205,209
142,Pink Ribbon,1340,benjaminmoore,#e59aa8,229,154,168
143,Secret Rendezvous,1341,benjaminmoore,#d5788b,213,120,139
144,Mardi Gras,1342,benjaminmoore,#b9596a,185,89,106
145,Mediterranean Spice,1337,benjaminmoore,#b04253,176,66,83
146,Cherry Burst,CSP-1200,benjaminmoore,#9f233d,159,35,61
147,Romantic Pink,2004-70,benjaminmoore,#fce3e7,252,227,231
148,Misted Rose,1339,benjaminmoore,#f0b4c1,240,180,193
149,Radiant Rose,1327,benjaminmoore,#eb8496,235,132,150
150,Deco Rose,1328,benjaminmoore,#dd6779,221,103,121
151,My Valentine,1330,benjaminmoore,#a5414d,165,65,77
152,Flamenco,CSP-1195,benjaminmoore,#a02432,160,36,50
153,Rapture,CC-66,benjaminmoore,#9c2e3b,156,46,59
154,Pink Parfait,2004-60,benjaminmoore,#fcccd6,252,204,214
