name,code,link,source,color_hex,color_r,color_g,color_b
Baby Dreams,2083-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-70/baby-dreams,benjaminmoore,#f5e3ea,245,227,234
Misty Rose,1360,https://www.benjaminmoore.com/en-us/paint-colors/color/1360/misty-rose,benjaminmoore,#e9cdd6,233,205,214
Countryside Pink,1361,https://www.benjaminmoore.com/en-us/paint-colors/color/1361/countryside-pink,benjaminmoore,#ddb2c6,221,178,198
Fashion Rose,1356,https://www.benjaminmoore.com/en-us/paint-colors/color/1356/fashion-rose,benjaminmoore,#9e5774,158,87,116
Old Claret,2083-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-30/old-claret,benjaminmoore,#974c64,151,76,100
Cascabel Chile,CSP-445,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-445/cascabel-chile,benjaminmoore,#693a3c,105,58,60
Bewitched,CSP-450,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-450/bewitched,benjaminmoore,#582f2f,88,47,47
Primrose Petals,1367,https://www.benjaminmoore.com/en-us/paint-colors/color/1367/primrose-petals,benjaminmoore,#eed5df,238,213,223
Sweet Naivete,2083-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-60/sweet-naivete,benjaminmoore,#eccbda,236,203,218
Pink Pansy,2083-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-50/pink-pansy,benjaminmoore,#dcaac1,220,170,193
Begonia,2083-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-40/begonia,benjaminmoore,#c27e9a,194,126,154
Berry Fizz,CSP-440,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-440/berry-fizz,benjaminmoore,#9e3f62,158,63,98
Cranberry Cocktail,2083-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-20/cranberry-cocktail,benjaminmoore,#833f4d,131,63,77
Raisin Torte,2083-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2083-10/raisin-torte,benjaminmoore,#73383f,115,56,63
I Love You Pink,2077-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2077-70/i-love-you-pink,benjaminmoore,#f8e2ee,248,226,238
