name,code,link,source,color_hex,color_r,color_g,color_b
Alpine Snow,39C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:39C-1|,clarkkensington,#dfe3e9,223,227,233
Designer White,1066,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:1066|,clarkkensington,#eaedec,234,237,236
Silent White,CW-C1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C1|,clarkkensington,#efefe7,239,239,231
Antique White,CW-W7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W7|,clarkkensington,#efeadd,239,234,221
Chalk,CW-C2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C2|,clarkkensington,#efede4,239,237,228
Linen,CW-W6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W6|,clarkkensington,#f5f1e4,245,241,228
Behind The Shadow,2026,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2026|,clarkkensington,#ede9df,237,233,223
Natural White,CW-W1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W1|,clarkkensington,#eae2d8,234,226,216
Swiss Coffee,CW-W3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W3|,clarkkensington,#f1ebde,241,235,222
Bone White,CW-W2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W2|,clarkkensington,#e9e2d6,233,226,214
Stormy Weather,CW-C7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C7|,clarkkensington,#e0e0d7,224,224,215
Light Navajo White,CW-W8,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W8|,clarkkensington,#ede3d1,237,227,209
Stolen Moments,1036,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:1036|,clarkkensington,#d7dfdf,215,223,223
Ship's Sail,1056,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:1056|,clarkkensington,#e0e7e8,224,231,232
Flirtation,2036,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2036|,clarkkensington,#e8e7d6,232,231,214
Soft Spoken,2042,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2042|,clarkkensington,#e5e0d0,229,224,208
Sandpoint,2066,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2066|,clarkkensington,#eae0c0,234,224,192
