name,code,link,source,color_hex,color_r,color_g,color_b
peregrine,PPG0993-1,https://www.glidden.com/color/color-families/grays/peregrine,glidden,#d5d8d7,213,216,215
train,PPG0993-2,https://www.glidden.com/color/color-families/grays/train,glidden,#bfc4c5,191,196,197
gosling gray,PPG0993-3,https://www.glidden.com/color/color-families/grays/gosling-gray,glidden,#a9afb2,169,175,178
gray suit,PPG0993-4,https://www.glidden.com/color/color-families/grays/gray-suit,glidden,#999fa3,153,159,163
superhero gray,PPG0993-5,https://www.glidden.com/color/color-families/grays/superhero-gray,glidden,#838b91,131,139,145
old silk,PPG0993-6,https://www.glidden.com/color/color-families/grays/old-silk,glidden,#6d747a,109,116,122
moody sky,PPG0993-7,https://www.glidden.com/color/color-families/grays/moody-sky,glidden,#575c62,87,92,98
afraid of the dark,PPG0994-1,https://www.glidden.com/color/color-families/grays/afraid-of-the-dark,glidden,#d4d4cd,212,212,205
pittsburgh gray,PPG0994-2,https://www.glidden.com/color/color-families/grays/pittsburgh-gray,glidden,#c9cbc6,201,203,198
half dome,PPG0994-3,https://www.glidden.com/color/color-families/grays/half-dome,glidden,#bbbcb6,187,188,182
hippopotamus,PPG0994-4,https://www.glidden.com/color/color-families/grays/hippopotamus,glidden,#a8aaa4,168,170,164
steel curtain,PPG0994-5,https://www.glidden.com/color/color-families/grays/steel-curtain,glidden,#9c9f99,156,159,153
husky gray,PPG0994-6,https://www.glidden.com/color/color-families/grays/husky-gray,glidden,#92958f,146,149,143
pencilpoint,PPG0994-7,https://www.glidden.com/color/color-families/grays/pencilpoint,glidden,#717572,113,117,114
shaded whisper,PPG0995-1,https://www.glidden.com/color/color-families/grays/shaded-whisper,glidden,#e0dfdc,224,223,220
ancient cloud,PPG0995-2,https://www.glidden.com/color/color-families/grays/ancient-cloud,glidden,#d2d1cd,210,209,205
silver band,PPG0995-3,https://www.glidden.com/color/color-families/grays/silver-band,glidden,#c7c6c2,199,198,194
pigeon feather,PPG0995-4,https://www.glidden.com/color/color-families/grays/pigeon-feather,glidden,#b9b8b5,185,184,181
burnished blade,PPG0995-5,https://www.glidden.com/color/color-families/grays/burnished-blade,glidden,#9f9f9d,159,159,157
city skyline,PPG0995-6,https://www.glidden.com/color/color-families/grays/city-skyline,glidden,#7b7a78,123,122,120
starless sky,PPG0995-7,https://www.glidden.com/color/color-families/grays/starless-sky,glidden,#3c3d3d,60,61,61
shining scale,PPG0996-1,https://www.glidden.com/color/color-families/grays/shining-scale,glidden,#ddddd9,221,221,217
steely gaze,PPG0996-2,https://www.glidden.com/color/color-families/grays/steely-gaze,glidden,#cdccc9,205,204,201
statue garden,PPG0996-3,https://www.glidden.com/color/color-families/grays/statue-garden,glidden,#a8a7a3,168,167,163
cloudy slate,PPG0996-4,https://www.glidden.com/color/color-families/grays/cloudy-slate,glidden,#92928f,146,146,143
steamship,PPG0996-5,https://www.glidden.com/color/color-families/grays/steamship,glidden,#81807e,129,128,126
slate mine,PPG0996-6,https://www.glidden.com/color/color-families/grays/slate-mine,glidden,#6f6f6e,111,111,110
summer shadow,PPG0996-7,https://www.glidden.com/color/color-families/grays/summer-shadow,glidden,#5e5e5d,94,94,93
allegheny river,PPG0997-1,https://www.glidden.com/color/color-families/grays/allegheny-river,glidden,#d0cfc9,208,207,201
felted wool,PPG0997-2,https://www.glidden.com/color/color-families/grays/felted-wool,glidden,#c4c3bd,196,195,189
fresh granite,PPG0997-3,https://www.glidden.com/color/color-families/grays/fresh-granite,glidden,#bbbab5,187,186,181
precipitation,PPG0997-4,https://www.glidden.com/color/color-families/grays/precipitation,glidden,#abaca6,171,172,166
playing possum,PPG0997-5,https://www.glidden.com/color/color-families/grays/playing-possum,glidden,#969794,150,151,148
industrial revolution,PPG0997-6,https://www.glidden.com/color/color-families/grays/industrial-revolution,glidden,#7b7c7a,123,124,122
black widow,PPG0997-7,https://www.glidden.com/color/color-families/grays/black-widow,glidden,#575957,87,89,87
cotton tail,PPG0998-1,https://www.glidden.com/color/color-families/grays/cotton-tail,glidden,#f2f0e7,242,240,231
hikers paradise,PPG0998-2,https://www.glidden.com/color/color-families/grays/hikers-paradise,glidden,#bfbab0,191,186,176
kalispell,PPG0998-3,https://www.glidden.com/color/color-families/grays/kalispell,glidden,#afaba1,175,171,161
shadowy,PPG0998-4,https://www.glidden.com/color/color-families/grays/shadowy,glidden,#a19e97,161,158,151
mt. rainier,PPG0998-5,https://www.glidden.com/color/color-families/grays/mt-rainier,glidden,#949089,148,144,137
on the edge,PPG0998-6,https://www.glidden.com/color/color-families/grays/on-the-edge,glidden,#7e7a74,126,122,116
undercover,PPG0998-7,https://www.glidden.com/color/color-families/grays/undercover,glidden,#5c5752,92,87,82
in the cloud,PPG0999-1,https://www.glidden.com/color/color-families/grays/in-the-cloud,glidden,#dedbd2,222,219,210
rabbit's ear,PPG0999-2,https://www.glidden.com/color/color-families/grays/rabbit-s-ear,glidden,#c7c2b7,199,194,183
boulder creek,PPG0999-3,https://www.glidden.com/color/color-families/grays/boulder-creek,glidden,#b2ada2,178,173,162
steeped tea,PPG0999-4,https://www.glidden.com/color/color-families/grays/steeped-tea,glidden,#9a9387,154,147,135
sweater weather,PPG0999-5,https://www.glidden.com/color/color-families/grays/sweater-weather,glidden,#8b8376,139,131,118
stolen rock,PPG0999-6,https://www.glidden.com/color/color-families/grays/stolen-rock,glidden,#746e64,116,110,100
dark woods,PPG0999-7,https://www.glidden.com/color/color-families/grays/dark-woods,glidden,#635f59,99,95,89
dust bunny,PPG1000-1,https://www.glidden.com/color/color-families/grays/dust-bunny,glidden,#d1c9bc,209,201,188
rocky road,PPG1000-2,https://www.glidden.com/color/color-families/grays/rocky-road,glidden,#c2b9ac,194,185,172
fieldstone,PPG1000-3,https://www.glidden.com/color/color-families/grays/fieldstone,glidden,#b1a89c,177,168,156
winter cocoa,PPG1000-4,https://www.glidden.com/color/color-families/grays/winter-cocoa,glidden,#a19689,161,150,137
bear cub,PPG1000-5,https://www.glidden.com/color/color-families/grays/bear-cub,glidden,#8e8274,142,130,116
thunderstruck,PPG1000-6,https://www.glidden.com/color/color-families/grays/thunderstruck,glidden,#7d7265,125,114,101
chocolate lab,PPG1000-7,https://www.glidden.com/color/color-families/grays/chocolate-lab,glidden,#64584a,100,88,74
black magic,PPG1001-7,https://www.glidden.com/color/color-families/neutrals/black-magic,glidden,#414040,65,64,64
dark as night,PPG14-05,https://www.glidden.com/color/color-families/neutrals/dark-as-night,glidden,#3d4645,61,70,69
onyx,PPG1011-7,https://www.glidden.com/color/color-families/neutrals/onyx,glidden,#464544,70,69,68
black forest,PPG1012-7,https://www.glidden.com/color/color-families/neutrals/black-forest,glidden,#434b4f,67,75,79
licorice,PPG1009-7,https://www.glidden.com/color/color-families/neutrals/licorice,glidden,#4e4f48,78,79,72
zombie,PPG1010-7,https://www.glidden.com/color/color-families/neutrals/zombie,glidden,#595a5c,89,90,92
mostly metal,PPG1036-7,https://www.glidden.com/color/color-families/neutrals/mostly-metal,glidden,#575e5f,87,94,95
knight's armor,PPG1001-6,https://www.glidden.com/color/color-families/neutrals/knight-s-armor,glidden,#5c5d5d,92,93,93
glazed granite,PPG1011-6,https://www.glidden.com/color/color-families/neutrals/glazed-granite,glidden,#5b5e61,91,94,97
armory,PPG1009-6,https://www.glidden.com/color/color-families/neutrals/armory,glidden,#6a6b65,106,107,101
up in smoke,PPG1010-6,https://www.glidden.com/color/color-families/neutrals/up-in-smoke,glidden,#6e706d,110,112,109
improbable,PPG1011-5,https://www.glidden.com/color/color-families/neutrals/improbable,glidden,#6e7376,110,115,118
volcanic ash,PPG1012-6,https://www.glidden.com/color/color-families/neutrals/volcanic-ash,glidden,#6f7678,111,118,120
phantom,PPG1036-6,https://www.glidden.com/color/color-families/neutrals/phantom,glidden,#6e797b,110,121,123
thunderbolt,PPG10-06,https://www.glidden.com/color/color-families/neutrals/thunderbolt,glidden,#7c8783,124,135,131
rough ride,PPG1036-5,https://www.glidden.com/color/color-families/neutrals/rough-ride,glidden,#7a8687,122,134,135
dover gray,PPG1001-5,https://www.glidden.com/color/color-families/neutrals/dover-gray,glidden,#848585,132,133,133
downpour,PPG1010-5,https://www.glidden.com/color/color-families/neutrals/downpour,glidden,#898a86,137,138,134
phoenix fossil,PPG1009-5,https://www.glidden.com/color/color-families/neutrals/phoenix-fossil,glidden,#8e908d,142,144,141
steeple gray,PPG1012-5,https://www.glidden.com/color/color-families/neutrals/steeple-gray,glidden,#8e9598,142,149,152
after the storm,PPG1036-4,https://www.glidden.com/color/color-families/neutrals/after-the-storm,glidden,#919fa1,145,159,161
ufo,PPG1011-4,https://www.glidden.com/color/color-families/neutrals/ufo,glidden,#989fa3,152,159,163
stepping stone,PPG1010-4,https://www.glidden.com/color/color-families/neutrals/stepping-stone,glidden,#a4a7a4,164,167,164
polaris,PPG10-04,https://www.glidden.com/color/color-families/neutrals/polaris,glidden,#a0aead,160,174,173
flagstone,PPG1001-4,https://www.glidden.com/color/color-families/neutrals/flagstone,glidden,#acadad,172,173,173
nautical star,PPG1036-3,https://www.glidden.com/color/color-families/neutrals/nautical-star,glidden,#aab5b7,170,181,183
stargazer,PPG1011-3,https://www.glidden.com/color/color-families/neutrals/stargazer,glidden,#afb4b6,175,180,182
gray stone,PPG1009-4,https://www.glidden.com/color/color-families/neutrals/gray-stone,glidden,#b7b9b5,183,185,181
solstice,PPG1010-3,https://www.glidden.com/color/color-families/neutrals/solstice,glidden,#babdb8,186,189,184
gray frost,PPG1012-4,https://www.glidden.com/color/color-families/neutrals/gray-frost,glidden,#b8bfc2,184,191,194
solitary state,PPG1009-3,https://www.glidden.com/color/color-families/neutrals/solitary-state,glidden,#c4c7c4,196,199,196
winter chill,PPG1036-2,https://www.glidden.com/color/color-families/neutrals/winter-chill,glidden,#c9d2d1,201,210,209
