name,code,link,source,color_hex,color_r,color_g,color_b
Renew Blue,8003-37D,https://www.valspar.com/en/colors/browse-colors/lowes/teal/renew-blue-8003-37d,valspar,#99b6b3,153,182,179
Gin Berry,V101-4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/teal/gin-berry-v101-4,valspar,#94aea9,148,174,169
Gravity,4005-1B,https://www.valspar.com/en/colors/browse-colors/lowes/gray/gravity-4005-1b,valspar,#c3c6c7,195,198,199
Zen Pebble,V145-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/zen-pebble-v145-2,valspar,#c6c4bb,198,196,187
Filtered Shade,4003-1B,https://www.valspar.com/en/colors/browse-colors/lowes/gray/filtered-shade-4003-1b,valspar,#cbc9c4,203,201,196
Bottlefly Wings,V112-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/bottlefly-wings-v112-2,valspar,#caced2,202,206,210
Tempered Gray,4004-1A,https://www.valspar.com/en/colors/browse-colors/lowes/gray/tempered-gray-4004-1a,valspar,#d5d3cc,213,211,204
Tinman,V114-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/tinman-v114-2,valspar,#6c767c,108,118,124
Polished Silver,4008-1B,https://www.valspar.com/en/colors/browse-colors/lowes/gray/polished-silver-4008-1b,valspar,#b1b4b2,177,180,178
Stately Graystone,V118-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/stately-graystone-v118-2,valspar,#a9a8a2,169,168,162
Bay Waves,4008-1A,https://www.valspar.com/en/colors/browse-colors/lowes/gray/bay-waves-4008-1a,valspar,#cccecc,204,206,204
Silver Thistle Down,V120-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/silver-thistle-down-v120-1,valspar,#d1d0ca,209,208,202
Silver Leaf,4006-1A,https://www.valspar.com/en/colors/browse-colors/lowes/gray/silver-leaf-4006-1a,valspar,#cacece,202,206,206
To the Tarmac,V116-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/to-the-tarmac-v116-3,valspar,#4f5556,79,85,86
Seashell Gray,4003-1A,https://www.valspar.com/en/colors/browse-colors/lowes/gray/seashell-gray-4003-1a,valspar,#dad9d4,218,217,212
New York City Winter,V122-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/new-york-city-winter-v122-1,valspar,#ded9d0,222,217,208
Urban Sunrise,4004-1B,https://www.valspar.com/en/colors/browse-colors/lowes/gray/urban-sunrise-4004-1b,valspar,#b3b4b0,179,180,176
Simple Gray,V144-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/simple-gray-v144-3,valspar,#b8b8aa,184,184,170
Voyage,4006-1B,https://www.valspar.com/en/colors/browse-colors/lowes/gray/voyage-4006-1b,valspar,#b2b8bc,178,184,188
Ghost Story,V142-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/ghost-story-v142-1,valspar,#e4e4db,228,228,219
Polar Star,4005-1A,https://www.valspar.com/en/colors/browse-colors/lowes/gray/polar-star-4005-1a,valspar,#d5d6d4,213,214,212
Windblown Blue,V139-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/windblown-blue-v139-2,valspar,#b5c4c7,181,196,199
Stone Mason Gray,4008-1C,https://www.valspar.com/en/colors/browse-colors/lowes/gray/stone-mason-gray-4008-1c,valspar,#959896,149,152,150
Apollo,V124-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/apollo-v124-2,valspar,#d2cfcd,210,207,205
Wet Pavement,5006-2A,https://www.valspar.com/en/colors/browse-colors/lowes/gray/wet-pavement-5006-2a,valspar,#a2a199,162,161,153
Cloud Mountain,V115-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/cloud-mountain-v115-2,valspar,#a1a8a9,161,168,169
Ultra White,7006-24,https://www.valspar.com/en/colors/browse-colors/lowes/white/ultra-white-7006-24,valspar,#f8f8f3,248,248,243
Bridal Wreath,V149,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/bridal-wreath-v149,valspar,#eaecea,234,236,234
Swiss Coffee,7002-16,https://www.valspar.com/en/colors/browse-colors/lowes/white/swiss-coffee-7002-16,valspar,#f1efe7,241,239,231
New Ream,V148,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/new-ream-v148,valspar,#f6f6f1,246,246,241
Du Jour,7002-6,https://www.valspar.com/en/colors/browse-colors/lowes/white/du-jour-7002-6,valspar,#f1efe9,241,239,233
Whisper Softly,V162,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/whisper-softly-v162,valspar,#e6e5e1,230,229,225
Antique White,7002-20,https://www.valspar.com/en/colors/browse-colors/lowes/white/antique-white-7002-20,valspar,#f0e6d8,240,230,216
Open Arms,V165,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/open-arms-v165,valspar,#f5e5cb,245,229,203
Bistro White,7006-4,https://www.valspar.com/en/colors/browse-colors/lowes/white/bistro-white-7006-4,valspar,#f0ede7,240,237,231
Cool Vapor,V173,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/cool-vapor-v173,valspar,#dadcd8,218,220,216
Dove White,7002-7,https://www.valspar.com/en/colors/browse-colors/lowes/white/dove-white-7002-7,valspar,#f2ede3,242,237,227
Bubble Bath,V154,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/bubble-bath-v154,valspar,#ebe5d9,235,229,217
Summer Gray,7006-17,https://www.valspar.com/en/colors/browse-colors/lowes/white/summer-gray-7006-17,valspar,#eae7e1,234,231,225
Modern Gray,V172,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/modern-gray-v172,valspar,#dbdad6,219,218,214
Cream Delight,7002-14,https://www.valspar.com/en/colors/browse-colors/lowes/white/cream-delight-7002-14,valspar,#f2ede2,242,237,226
Snowflake,V160,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/snowflake-v160,valspar,#e7edea,231,237,234
Silver Dust,7004-19,https://www.valspar.com/en/colors/browse-colors/lowes/white/silver-dust-7004-19,valspar,#e0e1de,224,225,222
Wooly Lamb,V156,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/wooly-lamb-v156,valspar,#f3eee7,243,238,231
